name,short_name,vendor,format,is_instrument,primary_category_v10_6,categories_v10_6,instrument_type_v10_6,confidence_v10,needs_review_v10,primary_category_v11,categories_v11,instrument_type_v11,confidence_v11,needs_review_v11,web_verified_v11,notes_v11,idx,ident,primary_category_v6,categories_v6,primary_category_v10,categories_v10,use_cases_v10,rationale_v10,notes_v10,instrument_type_v1,instrument_tags_v1,instrument_confidence_v1,instrument_reason_v1,primary_category_v10_5,categories_v10_5,primary_category_v10_5_norm,categories_v10_5_norm_list,instrument_type_v2,instrument_tags_v2,instrument_confidence_v2,instrument_reason_v2,instrument_tags_v10_6,instrument_confidence_v10_6,instrument_reason_v10_6,needs_review,mismatch_score,web_verified_bool,__cluster,verified_integrity_v11,integrity_issues_v11,verified_auto_strict_v11,verified_auto_strict_reason_v11,verified_v11,verified_v11_level
JS: Albeton - Autopan,Albeton - Autopan,ReaTeam,JS,False,Modulation/AutoPan,FX/Modulation; Modulation/AutoPan,,high,False,Modulation/AutoPan,FX/Modulation;Modulation/AutoPan,,high,False,False,ReaTeam JSFX; added from installed scan,1770,ReaTeam JSFX/Modulation/tilr_Albeton - Autopan.jsfx,Modulation,Metering/Analysis; Modulation,Modulation/AutoPan,FX/Modulation;Modulation/AutoPan,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - Drone Granular Texture,IFLS Workbench - Drone Granular Texture,IFLS Workbench,JS,False,Glitch/Granular,Glitch; Glitch/Granular,,high,False,Glitch/Granular,Glitch;Glitch/Granular,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1771,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_Drone_Granular.jsfx,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular,Glitch;Glitch/Granular,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - Drum RR & Velocity Mapper (Phase 112),IFLS Workbench - Drum RR & Velocity Mapper,IFLS Workbench,JS,False,Delay/Echo,Delay/Echo; Utility/Other,,high,False,MIDI/Utility,MIDI/Utility;Utility/Routing,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1772,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_Drum_RR_Velocity_Mapper_Phase112.jsfx,MIDI/Sequencing,Delay; MIDI/Sequencing,Delay/Echo,Delay/Echo;Utility/Other,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - Dynamic Meter v1 (PeakNorm out),IFLS Workbench - Dynamic Meter v1,IFLS Workbench,JS,False,Analysis/Metering,Analysis/Metering,,high,False,Analysis/Metering,Analysis/Metering,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1773,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_Dynamic_Meter_v1.jsfx,Metering/Analysis,Metering/Analysis,Analysis/Metering,Analysis/Metering,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - Euclid Slicer (tempo-synced Euclidean gate),IFLS Workbench - Euclid Slicer,IFLS Workbench,JS,False,Dynamics/GateExpander,Dynamics/GateExpander,,high,False,Dynamics/GateExpander,Dynamics/GateExpander,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1774,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_Euclid_Slicer.jsfx,Gate/TranceGate,Dynamics; Gate/TranceGate,Dynamics/GateExpander,Dynamics/GateExpander,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - Granular Hold (micro-grain freeze),IFLS Workbench - Granular Hold,IFLS Workbench,JS,False,Utility/Other,Utility/Other,,high,False,Time/GranularProcessor,Time/GranularProcessor;Utility/Other;Time/Granular;Multiband,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1775,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_Granular_Hold.jsfx,Pitch/Time,Pitch/Time,Utility/Other,Utility/Other,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - IDM Chopper (tempo-synced gate),IFLS Workbench - IDM Chopper,IFLS Workbench,JS,False,Dynamics/GateExpander,Dynamics/GateExpander,,high,False,Dynamics/GateExpander,Dynamics/GateExpander,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1776,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_IDM_Chopper.jsfx,Gate/TranceGate,Dynamics; Gate/TranceGate,Dynamics/GateExpander,Dynamics/GateExpander,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - IDM Clicks&Pops Bus Tone,IFLS Workbench - IDM Clicks&Pops Bus Tone,IFLS Workbench,JS,False,Utility/Other,Utility/Other,,high,False,Saturation/Character,Saturation/Character;Utility/Other;Saturation;Harmonics,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1777,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_IDM_ClicksPops_BusTone.jsfx,Saturation/Distortion,Saturation/Distortion,Utility/Other,Utility/Other,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - IDM Hats Bus Tone,IFLS Workbench - IDM Hats Bus Tone,IFLS Workbench,JS,False,Utility/Other,Utility/Other,,high,False,Saturation/Character,Saturation/Character;Utility/Other;Saturation;Harmonics,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1778,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_IDM_Hats_BusTone.jsfx,Saturation/Distortion,Saturation/Distortion,Utility/Other,Utility/Other,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
JS: IFLS Workbench - IDM Kick Bus Tone,IFLS Workbench - IDM Kick Bus Tone,IFLS Workbench,JS,False,Utility/Other,Utility/Other,,high,False,Saturation/Character,Saturation/Character;Utility/Other;Saturation;Harmonics,,high,False,False,local IFLS Workbench JSFX; added from installed scan,1779,IFLS_Workbench_Toolbar/Effects/IFLS_Workbench/IFLS_Workbench_IDM_Kick_BusTone.jsfx,Saturation/Distortion,Saturation/Distortion,Utility/Other,Utility/Other,,,,,,,,,,,,,,,,,,,False,0.0,False,,True,,True,name/format heuristic,True,auto_strict
